表格名稱,欄位序號,欄位名稱,啟用最低需求版本,型別,PK,UQ,NN,FK,來源表格,預設值,欄位說明
nx01_audit_log,1,id,LITE,VARCHAR(15),True,True,True,False,,GEN,[NX01]+[AULO]+[7碼流水號]，EX : NX01AULO0000001
nx01_audit_log,2,tenant_id,LITE,VARCHAR(15),False,False,True,True,nx99_tenant,,租戶 ID（外鍵）
nx01_audit_log,3,occurred_at,LITE,TIMESTAMP,False,False,True,False,,NOW,發生時間
nx01_audit_log,4,actor_user_id,LITE,VARCHAR(15),False,False,True,True,nx01_user,,操作者（使用者 ID）
nx01_audit_log,5,module_code,LITE,VARCHAR(10),False,False,True,False,,,模組代碼：nx00/nx01/nx02...
nx01_audit_log,6,action,LITE,VARCHAR(20),False,False,True,False,,,動作類型：CREATE/UPDATE/DELETE/LOGIN/LOGOUT/EXPORT/POST/VOID…
nx01_audit_log,7,entity_table,LITE,VARCHAR(50),False,False,True,False,,,目標表格名稱，例：nx01_po、nx01_part
nx01_audit_log,8,entity_id,LITE,VARCHAR(20),False,False,False,False,,,目標資料 ID（多數是 VARCHAR(15)，允許更長避免未來擴充）
nx01_audit_log,9,entity_code,LITE,VARCHAR(50),False,False,False,False,,,目標資料識別碼（例：單號、料號、畫面代碼），方便人查
nx01_audit_log,10,summary,LITE,VARCHAR(200),False,False,False,False,,,簡述（例：建立進貨單、修改銷貨單金額）
nx01_audit_log,11,before_data,LITE,JSON,False,False,False,False,,,變更前資料快照（可空；只在 UPDATE/DELETE 時有）
nx01_audit_log,12,after_data,LITE,JSON,False,False,False,False,,,變更後資料快照（可空；只在 CREATE/UPDATE 時有）
nx01_audit_log,13,ip_addr,LITE,VARCHAR(45),False,False,False,False,,,IP 位址（IPv4/IPv6；可空）
nx01_audit_log,14,user_agent,LITE,VARCHAR(200),False,False,False,False,,,瀏覽器/裝置資訊（可空）
nx01_brand_code_rule,1,id,LITE,VARCHAR(15),True,True,True,False,,GEN,[NX01]+[BCOR]+[7碼流水號]，EX : NX01BCOR0000001
nx01_brand_code_rule,2,tenant_id,LITE,VARCHAR(15),False,False,True,True,nx99_tenant,,租戶 ID（外鍵）
nx01_brand_code_rule,3,part_brand_id,LITE,VARCHAR(15),False,False,True,True,nx01_part_brand,,零件品牌 ID（一個品牌只有一筆規則）
nx01_brand_code_rule,4,name,LITE,VARCHAR(15),False,False,True,False,,,規則名稱
nx01_brand_code_rule,5,seg1,LITE,INT,False,False,True,False,,0,第1段字數限制（0=不使用）
nx01_brand_code_rule,6,seg2,LITE,INT,False,False,True,False,,0,第2段字數限制（0=不使用）
nx01_brand_code_rule,7,seg3,LITE,INT,False,False,True,False,,0,第3段字數限制（0=不使用）
nx01_brand_code_rule,8,seg4,LITE,INT,False,False,True,False,,0,第4段字數限制（0=不使用）
nx01_brand_code_rule,9,seg5,LITE,INT,False,False,True,False,,0,第5段字數限制（0=不使用）
nx01_brand_code_rule,10,code_format,LITE,VARCHAR(20),False,False,True,False,,1-2-3-4-5,料號組合格式
nx01_brand_code_rule,11,brand_sort,LITE,VARCHAR(5),False,False,True,False,,12345,料號排列順序，例：VAG=23145
nx01_brand_code_rule,12,is_active,LITE,BOOLEAN,False,False,True,False,,TRUE,是否啟用
nx01_brand_code_rule,13,created_at,LITE,TIMESTAMP,False,False,True,False,,NOW,建立時間。
nx01_brand_code_rule,14,created_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,建立人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_brand_code_rule,15,updated_at,LITE,TIMESTAMP,False,False,True,False,,NOW,更新時間。
nx01_brand_code_rule,16,updated_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,更新人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_bulletin,1,id,LITE,VARCHAR(15),True,True,True,False,,GEN,[NX01]+[BULL]+[7碼流水號]，EX : NX01BULL0000001
nx01_bulletin,2,tenant_id,LITE,VARCHAR(15),False,False,True,True,nx99_tenant,,租戶 ID（外鍵）
nx01_bulletin,3,title,LITE,VARCHAR(100),False,False,True,False,,,公告標題
nx01_bulletin,4,content,LITE,TEXT,False,False,False,False,,,公告內容（多行文字）
nx01_bulletin,5,type,LITE,VARCHAR(1),False,False,True,False,,C,公告類型：S=SYSTEM / C=COMPANY / R=REMIND
nx01_bulletin,6,is_pinned,LITE,BOOLEAN,False,False,True,False,,FALSE,是否置頂
nx01_bulletin,7,expired_at,LITE,TIMESTAMP,False,False,False,False,,1個月到期,到期時間（NULL = 永久顯示）
nx01_bulletin,8,is_active,LITE,BOOLEAN,False,False,True,False,,TRUE,是否啟用
nx01_bulletin,9,created_at,LITE,TIMESTAMP,False,False,True,False,,NOW,建立時間。
nx01_bulletin,10,created_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,建立人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_bulletin,11,updated_at,LITE,TIMESTAMP,False,False,True,False,,NOW,更新時間。
nx01_bulletin,12,updated_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,更新人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_calendar_event,1,id,LITE,VARCHAR(15),True,True,True,False,,GEN,[NX01]+[CAEV]+[7碼流水號]，EX : NX01CAEV0000001
nx01_calendar_event,2,tenant_id,LITE,VARCHAR(15),False,False,True,True,nx99_tenant,,租戶 ID（外鍵）
nx01_calendar_event,3,title,LITE,VARCHAR(100),False,False,True,False,,,事件標題
nx01_calendar_event,4,type,LITE,VARCHAR(1),False,False,True,False,,,事件類型：S=SYSTEM / C=COMPANY / R=REMIND
nx01_calendar_event,5,date_start,LITE,TIMESTAMP,False,False,True,False,,TODAY,開始時間
nx01_calendar_event,6,date_end,LITE,TIMESTAMP,False,False,True,False,,,結束時間
nx01_calendar_event,7,is_all_day,LITE,BOOLEAN,False,False,True,False,,FALSE,是否整天
nx01_calendar_event,8,order_type,LITE,VARCHAR(2),False,False,False,False,,,相關單據類型：RF=詢價單 / PO=採購單 / RR=進貨單 / RM=退貨單 / QT=報價單 / SO=銷貨單 / SR=銷退單
nx01_calendar_event,9,order_doc_no,LITE,VARCHAR(16),False,False,False,False,,,單據單號 (依 order_type 動態對應)
nx01_calendar_event,10,is_active,LITE,BOOLEAN,False,False,True,False,,TRUE,是否啟用
nx01_calendar_event,11,created_at,LITE,TIMESTAMP,False,False,True,False,,NOW,建立時間。
nx01_calendar_event,12,created_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,建立人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_calendar_event,13,updated_at,LITE,TIMESTAMP,False,False,True,False,,NOW,更新時間。
nx01_calendar_event,14,updated_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,更新人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_car_brand,1,id,LITE,VARCHAR(15),True,True,True,False,,GEN,[NX01]+[CABR]+[7碼流水號]，EX : NX01CABR0000001
nx01_car_brand,2,tenant_id,LITE,VARCHAR(15),False,False,True,True,nx99_tenant,,租戶 ID（外鍵）
nx01_car_brand,2,code,LITE,VARCHAR(30),False,True,True,False,,,品牌代碼（唯一，例：MANN、BOSCH、OEM）
nx01_car_brand,3,name,LITE,VARCHAR(100),False,False,True,False,,,品牌名稱（顯示用）
nx01_car_brand,4,country_id,LITE,VARCHAR(15),False,False,False,True,nx01_country,,品牌國家 (外鍵)
nx01_car_brand,5,remark,LITE,VARCHAR(200),False,False,False,False,,,備註說明
nx01_car_brand,6,is_active,LITE,BOOLEAN,False,False,True,False,,TRUE,是否啟用（停用不刪資料）
nx01_car_brand,7,sort_no,LITE,INT,False,False,True,False,,0,排序用（下拉選單顯示順序）
nx01_car_brand,8,created_at,LITE,TIMESTAMP,False,False,True,False,,NOW,建立時間。
nx01_car_brand,9,created_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,建立人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_car_brand,10,updated_at,LITE,TIMESTAMP,False,False,True,False,,NOW,更新時間。
nx01_car_brand,11,updated_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,更新人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_country,1,id,LITE,VARCHAR(15),True,True,True,False,,GEN,[NX01]+[COUN]+[7碼流水號]，EX : NX01COUN0000001
nx01_country,2,code,LITE,VARCHAR(3),False,True,True,False,,,國家代碼，例：TWN、DEU、JPN
nx01_country,3,name,LITE,VARCHAR(100),False,False,True,False,,,國家名稱，例：台灣、德國
nx01_country,4,sort_no,LITE,INT,False,False,True,False,,0,排序
nx01_country,5,is_active,LITE,BOOLEAN,False,False,True,False,,TRUE,是否啟用
nx01_country,6,created_at,LITE,TIMESTAMP,False,False,True,False,,NOW,建立時間。
nx01_country,7,created_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,建立人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_country,8,updated_at,LITE,TIMESTAMP,False,False,True,False,,NOW,更新時間。
nx01_country,9,updated_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,更新人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_currency,1,id,LITE,VARCHAR(15),True,True,True,False,,GEN,[NX01]+[CURR]+[7碼流水號]，EX : NX01CURR0000001
nx01_currency,2,code,LITE,VARCHAR(3),False,True,True,False,,,幣別代碼，例：TWD、EUR、JPY
nx01_currency,3,name,LITE,VARCHAR(100),False,False,True,False,,,幣別名稱，例：新台幣、歐元
nx01_currency,4,symbol,LITE,VARCHAR(5),False,False,False,False,,,符號，例：$、€、?
nx01_currency,5,decimal_places,LITE,INT,False,False,True,False,,2,"小數位數（TWD=0, USD=2）"
nx01_currency,6,sort_no,LITE,INT,False,False,True,False,,0,排序
nx01_currency,7,is_active,LITE,BOOLEAN,False,False,True,False,,TRUE,是否啟用
nx01_currency,8,created_at,LITE,TIMESTAMP,False,False,True,False,,NOW,建立時間。
nx01_currency,9,created_by,LITE,VARCHAR(15),False,False,True,True,nx01_user,,建立人（必填；系統操作帶入使用者 ID；DB 匯入填系統管理員 ID）
nx01_currency,10,updated_at,LITE,TIMESTAMP,False,False,True,False,,NOW,更新時間。
