模組,功能名稱,LITE,PLUS,PRO,備註
NX01,使用者帳號管理,Y,Y,Y,
NX01,職務/角色/畫面權限,Y,Y,Y,
NX01,料號/品牌/種類主檔,Y,Y,Y,
NX01,交易對象主檔（廠商/客戶）,Y,Y,Y,
NX01,客戶信用額度管理,Y,Y,Y,
NX01,客戶等級主檔（A~D）,Y,Y,Y,
NX01,幣別/地區主檔,Y,Y,Y,
NX01,單倉管理,Y,Y,Y,
NX01,多倉管理,N,Y,Y,PLUS 起，最多 4 倉；PRO 無上限
NX01,使用者據點授權,N,Y,Y,限制使用者只能操作授權倉庫
NX01,部門/組別架構（2層）,N,Y,Y,PLUS：最多 2 層（部門+組別）
NX01,部門/組別架構（無限層）,N,N,Y,PRO：無限層級
NX01,員工主檔,N,N,Y,PRO 才有完整員工主檔
NX01,KPI 指標範本設定,N,N,Y,
NX01,KPI 目標設定（角色/個人）,N,N,Y,
NX01,KPI 實際記錄（系統自動）,N,N,Y,
NX01,操作稽核記錄,Y,Y,Y,
NX01,公告/行事曆,Y,Y,Y,
NX02,採購需求單（DR）,Y,Y,Y,
NX02,詢價單（RF）,Y,Y,Y,
NX02,進貨單（RR）/驗收,Y,Y,Y,
NX02,退供應商單（PR）,Y,Y,Y,
NX02,調貨單（TI）向同行調貨,Y,Y,Y,
NX02,採購單（PO）建立/審核,N,Y,Y,
NX02,國外採購（進口）,N,Y,Y,含 Incoterm/付款條件
NX02,進口費用攤分,N,Y,Y,海運費/關稅/報關費自動攤分
NX02,廠商等級分級（A~D）,N,N,Y,
NX02,廠商定期評鑑,N,N,Y,季度評鑑
NX02,採購 KPI 追蹤,N,N,Y,
NX03,庫存台帳/餘額查詢,Y,Y,Y,
NX03,庫存開帳存,Y,Y,Y,
NX03,盤點作業（全倉/分區/單品）,Y,Y,Y,
NX03,庫位主檔管理,Y,Y,Y,
NX03,安全量/最高量設定,Y,Y,Y,
NX03,各倉獨立安全量設定,N,Y,Y,
NX03,調撥單（ST）跨倉調撥,N,Y,Y,
NX03,缺貨簿,N,Y,Y,
NX03,自動調撥補貨設定,N,Y,Y,
NX03,撿貨/包貨/BOX編號,Y,Y,Y,統一包貨流程
NX03,庫存 KPI/坪效分析,N,N,Y,
NX04,報價單（QT）,Y,Y,Y,
NX04,銷貨單（SO）,Y,Y,Y,
NX04,銷退單（SR）,Y,Y,Y,
NX04,客戶等級定價（A~D）,Y,Y,Y,
NX04,最低售價保護,Y,Y,Y,
NX04,國外銷售（出口）,N,Y,Y,含外幣/貿易條件/出口報關
NX04,商業發票/裝箱單,N,Y,Y,
NX04,銷售 KPI/客戶分析,N,N,Y,
NX05,應收帳款（AR）,Y,Y,Y,
NX05,應付帳款（AP）,Y,Y,Y,
NX05,收付款記錄（PY）,Y,Y,Y,
NX05,票據管理（NT）,Y,Y,Y,
NX05,折讓單（AL）,Y,Y,Y,
NX05,關帳作業（CL）,Y,Y,Y,
NX05,會計科目主檔,Y,Y,Y,
NX05,多幣別,N,Y,Y,
NX05,AR 催收分級管理,N,N,Y,
NX05,財務 KPI 分析,N,N,Y,
NX06,送貨單（DN）,Y,Y,Y,
NX06,多種任務類型（送/取/調撥）,Y,Y,Y,
NX06,電子簽收,Y,Y,Y,
NX06,GPS 即時追蹤,N,N,Y,Phase 2
NX07,出勤打卡/排班,N,N,Y,
NX07,請假/加班申請,N,N,Y,
NX07,薪資計算/發放,N,N,Y,
NX07,績效考核（台式OKR）,N,N,Y,
NX07,教育訓練記錄,N,N,Y,
NX08,銷售分析報表,N,N,Y,含 HPA 歷史路徑分析
NX08,採購分析報表,N,N,Y,
NX08,庫存產品分析（BCG矩陣）,N,N,Y,
NX08,廠商分析報表,N,N,Y,
NX08,財務分析報表,N,N,Y,
NX08,人資分析報表,N,N,Y,
NX08,個人日月報表,N,N,Y,
NX08,經營儀表板（TOWS/PESTEL）,N,N,Y,
NX09,KM 知識庫（QA撰寫/搜尋）,N,N,Y,Phase 2 接 RAG AI
NX09,文件庫（章則/SOP閱覽）,N,N,Y,
NX09,會議管理/紀錄/追蹤,N,N,Y,
