料號	品名
0 002 335 601	火星塞
0 092 S67 119	電瓶-92AH/850A-AGM
0 124 655 499	發電機-110A/28V
0 130 304 214	風扇馬達-冷氣
0 242 145 524	火星塞-VR5NE
0 280 150 962	噴油嘴
0 280 160 562	油壓調節器
0 986 A02 329	電瓶-60AH
0 986 A02 331	電瓶-62AH/480A
0 986 A02 333	電瓶-75AH
0 986 A02 334	電瓶-74AH
0 986 A02 336	電瓶-85AH
0 986 A02 340	電瓶-110AH
000 043 110 16	調整器-凸輪軸
000 043 207 29	變速箱油-自排
000 915 105AD	電瓶  61AH/330A
000 915 105AF	電瓶
000 915 105AG	電瓶-80AH/380A
000 915 105AH	電瓶-95AH-免加水
000 915 105AK	免加水電瓶  110AH  A8
000 915 105CE  ZZ	電瓶-92AH/520A-AGM-瑕疵
000 915 105DM	電瓶-115AH/600A
000 915 105DN	電瓶-36AH/175A
000 915 105EB	電瓶-59AH/320A-EFB
000 915 105EC	電瓶-69AH/360A
000 979 019E	端子
000 979 131	端子
000 979 131A	端子
001 321 243 /	油封-自動油泵
001 398 000 *	變速箱修理包-大
001 409 061	冷卻器-ATF
001 409 069A	O型環-冷卻器
001 409 399 +	油封-差速器
001 911 023	起動馬達
001 911 023 /	起動馬達
001 927 321 /	速度感知器-變速箱
003 321 261	活塞環-變速箱泵
003 519 089N	油封
003 911 023E Z	起動馬達
010 321 371B *	油底殼墊片-變速箱
010 321 371B -	油底殼墊片-變速箱
010 398 000A *	變速箱修理包-大
010 398 007B -	變速箱修理包
012 141 165E *	釋放軸承-離合器
012 301 127F	螺絲-變速箱
012 311 113B /	油封
012 409 191C	路碼錶感知器
012 409 191D /	路碼錶感知器
012 409 191G	路碼錶感知器
012 911 023G *	起動馬達
014 409 193A	路碼錶齒輪座
016 311 113B	油封
016 311 113B *	油封
016 311 113C	油封
016 409 399B *	油封-差速器
016 409 399B /	油封-差速器
016 409 399B ~	油封-差速器
01E 141 165B	釋放軸承-離合器
01F 321 243 *	油封-自動油泵
01F 325 433 *	變速箱濾網
01F 325 443 -	濾網墊片
01J 301 212H  XX	變速箱後蓋-中古
01J 301 475A	變速箱外殼墊片
01J 311 429K	軸承-變速箱
01J 331 133G	軸承-變速箱
01J 398 139	離合器組
01J 398 445	軸承
01M 325 039DX >	電磁閥體-變速箱舊品繳回件
01M 325 429  /	變速箱濾網
01M 325 429 *	變速箱濾網
01M 325 429S	變速箱濾網/帶墊圈
01M 325 429S .	變速箱濾網/帶墊圈
01M 398 000A	變速箱修理包-中
01M 409 067C	冷卻器螺絲
01M 927 321B /	速度感知器-變速箱
01M 927 365 /	線路板-電磁閥體
01M 927 733BQ	變速箱電腦
01M 927 733F	變速箱電腦
01N 321 359 .	油底殼-變速箱
01N 321 370 +	油底殼墊片-變速箱
01N 321 371 +	油底殼墊片-變速箱
01N 398 000	變速箱修理包-大
01N 398 000A *	變速箱修理包-中
01N 927 733BL	變速箱電腦
01P 398 000	變速箱修理包-大
01P 927 733	變速箱電腦
01V 321 359	油底殼-變速箱
01V 321 359B #	油底殼-變速箱
01V 321 359B .	油底殼-變速箱
01V 321 371 *	油底殼墊片-變速箱
01V 321 371 /	油底殼墊片-變速箱
01V 321 373	固定螺絲-變速箱油底殼
01V 325 429 *	變速箱濾網
01V 325 429 .	變速箱濾網-正
01V 409 399 *	油封-差速器
01V 919 821	多功能開關
01V 919 821A	多功能開關
01V 927 321 *	速度感知器-變速箱
020 141 073A *	變速箱側外蓋
020 141 709B	離合器撥桿
020 301 227C	油封-排擋拉桿
020 301 227D	油封-排擋拉桿
020 301 227D -	油封-排擋拉桿
020 301 241H	排擋撥叉螺絲
020 311 108A /	油封-推桿內
020 311 206	軸承-輸出軸
