料號	品名
0 687 000 151	電瓶檢測儀器
000 915 105CC	電瓶-68AH/380A-AGM
000 915 105CD	電瓶-75AH/420A-AGM
000 915 105CE	電瓶-92AH/520A-AGM
000 915 105CF	電瓶-105AH/580A-AGM
000 915 105DE	電瓶-61AH/330A
000 915 105DG	電瓶-72AH/380A
000 915 105DH	電瓶-80AH/380A
000 915 105DL	電瓶-110AH/520A
000 915 105FA	電瓶-49AH/320A-EFB
000 915 105FB	電瓶-59AH/320A-EFB
000 915 105FC	電瓶-70AH/420A-EFB
000 979 237	端子
012 311 113B -	油封
020 945 415A /	倒車燈開關
021 117 061B	機油冷卻器外蓋
021 121 004 /	水泵
021 906 265N *	含氧感知器
022 121 011 #	水泵
022 121 011 /	水泵
022 121 111G /	節溫器座總成
025 121 403B -	副水筒-後
026 109 173A *	時規護蓋-內
026 121 144B /	水管接頭-側
02D 525 596F +	油封-後差速器
02E 409 061B -	冷卻器-ATF
030 103 171L /	油封座-曲軸後
030 957 147G *	曲軸感知器
032 121 142 /	卡環-溫度開關
036 103 383AM -	汽缸床
036 906 051G *	進氣壓力感知器
036 906 433B *	曲軸感知器
037 109 119C #	正時皮帶
037 115 220B + ZZ	油底殼墊片-引擎-瑕疵
037 121 036 #	水管-水泵>接頭>機油冷卻器
037 121 132E *	水管接頭-綠
037 903 315C *	皮帶張力減震器
038 117 070A -	O型環-機油冷卻器
038 121 011K #	水泵
038 121 132G /	水管接頭
038 198 119A	正時皮帶組-含惰輪
03C 103 196 -	火星塞墊圈
03C 103 383R	汽缸床
03C 109 088ES -	凸輪軸鍊條調整器組-含螺絲套管
03C 109 287G /	正時鍊條外蓋墊片
03C 117 021J /	機油冷卻器-帶管
03C 121 004J +	水泵
03C 121 065B +	水管-塑鋼
03C 121 065K -	水管-塑鋼
03C 133 062D	節流閥總成
03C 198 000 /	引擎大修包
03C 903 024E * ZZ	發電機-110A
03F 109 158G	正時鍊條
03F 905 409C *	高壓線組
03G 906 051E *	進氣壓力感知器
03H 145 113	真空輔助泵墊片
03L 103 171 *	油封座-曲軸後
03L 103 383CB	汽缸床
03L 105 266AJ *	飛輪-DSG-7A
03L 115 105B	機油泵
03L 115 607	機油尺總成
03L 121 011P +	水泵
03L 128 063R -	熄火切斷閥
03L 131 512DQ ~	EGR冷卻器/控制閥
03L 145 100F /	真空輔助泵
03L 198 119E	正時皮帶組-含惰輪
03L 198 716A ~	壓力閥修理包-渦輪增壓器
03L 198 716B	壓力閥修理包-渦輪增壓器
03L 905 061G	預熱塞
03L 906 051B -	壓力感知器
03L 906 088DJ *	排氣溫度感知器
03L 957 147A -	凸輪軸感知器
03L 963 319A *	預熱塞-194
03N 115 389A -	機油芯座總成-含機油冷卻器
048 133 455 *	怠速閥
04C 105 701E -6	小波司組
04C 121 600L	水泵總成
04C 133 062C	節流閥總成
04C 133 352BC	通氣管
04C 905 110J	發火線圈
04C 905 110L	發火線圈
04C 906 433 ~	曲軸感知器
04C 906 433G	曲軸感知器
04E 103 170D	油封座-曲軸後
04E 103 601L	油底殼-引擎
04E 109 088M -	凸輪軸鍊條調整器-進氣
04E 109 088M /	凸輪軸鍊條調整器-進氣
04E 115 251AA	機油泵導管
04E 121 119B	水泵墊片
04E 121 600AL - ZZ	水泵總成-瑕庛
04E 121 600BD ~	水泵總成
04E 121 605E -	皮帶-水泵
04E 121 687B	墊片
04E 129 656R	進氣管
04E 129 709P	進氣歧管
04E 145 749F	渦輪增壓散熱器
04E 903 219B	發電機皮帶盤-單導向
04E 998 907A	油封組-噴油嘴
04L 109 243D	正時惰輪
04L 109 283A	汽缸蓋側蓋
04L 121 064AE	鐵水管
04L 131 501C	EGR閥
04L 145 299H	皮帶張力減震器/惰輪
04L 145 822H	通氣管-渦輪
04L 198 119A *	正時皮帶組-含惰輪*3
04L 198 119D	正時皮帶組-含惰輪*3
04L 199 207E	引擎腳支架-右前
04L 253 019Q *	渦輪增壓器
04L 906 054 /	汽油壓力感知器
04L 906 433B /	曲軸感知器
04L 990 990B	引擎電腦
051 109 243 *	正時惰輪
055 905 225B /	分火頭
056 919 081E /	機油壓力開關-白
057 121 011E -	水泵
058 133 843 -	空氣芯
058 133 843 /	空氣芯
058 145 703N *	渦輪增壓器
058 198 025A ~	汽門蓋墊片
059 105 251DJ	皮帶盤-曲軸
059 109 509L	正時鍊條壓板
059 121 008J /	水泵
059 121 065EA	鐵水管
059 121 091A	O型環-EGR
059 129 711CK	進氣歧管/活門馬達-左
059 129 711DC	進氣歧管/活門馬達-左
059 129 712BQ	進氣歧管/活門馬達-右
059 129 712BT	進氣歧管/活門馬達-右
059 129 712CA	進氣歧管/活門馬達-右
059 131 515FJ	節流閥冷卻器
059 145 950AA	節流閥總成
