表格名稱,欄位序號,欄位名稱,啟用最低需求版本,型別,PK,UQ,NN,FK,來源表格,預設值,欄位說明
nx00_user,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[USER]+[7碼流水號]，EX : NX00USER0000001
nx00_user,2,tenant_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx99_tenant,,租戶 ID（外鍵）
nx00_user,3,username,LITE,VARCHAR(50),FALSE,TRUE,TRUE,FALSE,,,使用者登入帳號（唯一），建議只允許英數與部分符號（如 . _ -）
nx00_user,4,password_hash,LITE,VARCHAR(255),FALSE,FALSE,TRUE,FALSE,,,密碼雜湊值（不可存明碼）。
nx00_user,5,display_name,LITE,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,,,顯示名稱（姓名/暱稱）
nx00_user,6,email,LITE,VARCHAR(100),FALSE,FALSE,FALSE,FALSE,,,Email（可選填；未來可用於通知/重設密碼）
nx00_user,7,phone,LITE,VARCHAR(20),FALSE,FALSE,FALSE,FALSE,,,電話（可選填）
nx00_user,8,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（停用後不可登入）
nx00_user,9,last_login_at,LITE,TIMESTAMP,FALSE,FALSE,FALSE,FALSE,,,最後登入時間
nx00_user,10,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_user,11,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_user,12,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_user,13,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_role,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[ROLE]+[7碼流水號]，EX : NX00ROLE0000001
nx00_role,2,code,LITE,VARCHAR(30),FALSE,TRUE,TRUE,FALSE,,,角色代碼（唯一），例：ADMIN、SALES、WH、OWNER
nx00_role,3,name,LITE,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,,,角色名稱（顯示用），例：管理者、業務、倉管
nx00_role,4,description,LITE,VARCHAR(200),FALSE,FALSE,FALSE,FALSE,,,角色說明（可選）
nx00_role,5,is_system,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,FALSE,是否系統內建角色（內建可限制刪除/改代碼）
nx00_role,6,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（停用後不可再指派）
nx00_role,7,sort_no,LITE,INT,FALSE,FALSE,TRUE,FALSE,,0,排序用（清單顯示順序）
nx00_role,8,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_role,9,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_role,10,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_role,11,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_user_role,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[USRO]+[7碼流水號]，EX : NX00USRO0000001
nx00_user_role,2,user_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx00_user,,使用者 ID（外鍵）。
nx00_user_role,3,role_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx00_role,,角色 ID（外鍵）。
nx00_user_role,4,is_primary,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,FALSE,是否主要角色（用於預設權限/預設首頁顯示等）
nx00_user_role,5,assigned_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,指派時間
nx00_user_role,6,assigned_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,指派者（使用者 ID）
nx00_user_role,7,revoked_at,LITE,TIMESTAMP,FALSE,FALSE,FALSE,FALSE,,,取消指派時間（保留歷史用；若你想硬刪也可不需要）
nx00_user_role,8,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否有效（TRUE=目前生效；FALSE=已取消但保留紀錄）
nx00_view,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[VIEW]+[7碼流水號]，EX : NX00VIEW0000001
nx00_view,2,code,LITE,VARCHAR(50),FALSE,TRUE,TRUE,FALSE,,,畫面代碼（給程式用、不可重複），建議：NX00_PART_VIEW
nx00_view,3,name,LITE,VARCHAR(100),FALSE,FALSE,TRUE,FALSE,,,畫面名稱（給人看），例：零件主檔
nx00_view,4,module_code,LITE,VARCHAR(10),FALSE,FALSE,TRUE,FALSE,,,所屬模組代碼：nx00/nx01/nx02...（方便分類與未來菜單）
nx00_view,5,path,LITE,VARCHAR(200),FALSE,FALSE,TRUE,FALSE,,,前端路由/網址路徑，例：/nx00/parts
nx00_view,6,sort_no,LITE,INT,FALSE,FALSE,TRUE,FALSE,,0,排序用（菜單/列表呈現順序）
nx00_view,7,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（下架畫面用，不刪資料）
nx00_view,8,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_view,9,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_view,10,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_view,11,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_role_view,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[ROVI]+[7碼流水號]，EX : NX00ROVI0000001
nx00_role_view,2,role_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx00_role,,使用者 ID（外鍵）。
nx00_role_view,3,view_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx00_view,,角色 ID（外鍵）。
nx00_role_view,4,can_read,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否可讀取/進入此畫面
nx00_role_view,5,can_create,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,FALSE,是否可新增
nx00_role_view,6,can_update,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,FALSE,是否可編輯
nx00_role_view,7,can_delete,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,FALSE,是否可刪除
nx00_role_view,8,can_export,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,FALSE,是否可匯出（CSV/Excel/PDF 等）
nx00_role_view,9,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（停用不刪資料）
nx00_role_view,10,granted_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,授權時間
nx00_role_view,11,granted_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,授權人（對應使用者 ID）
nx00_role_view,12,revoked_at,LITE,TIMESTAMP,FALSE,FALSE,FALSE,FALSE,,,撤銷時間（撤銷才填）
nx00_role_view,13,revoked_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,撤銷人（對應使用者 ID）
nx00_part,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[PART]+[7碼流水號]，EX : NX00PART0000001
nx00_part,2,code,LITE,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,,,零件料號（對外/對內主要識別碼；因為汽車品牌間可能有通用，所以code+car_brand 不能重複就好）
nx00_part,3,name,LITE,VARCHAR(200),FALSE,FALSE,TRUE,FALSE,,,零件名稱/品名（例：機油濾芯）
nx00_part,4,is_oem,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否為正廠件
nx00_part,5,part_brand_id,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_part_brand,,零件品牌（可空，因為有些料號可能還沒補齊）
nx00_part,6,car_brand_id,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_car_brand,,汽車品牌（可空，因為有些料號可能還沒補齊）
nx00_part,7,type,LITE,VARCHAR(1),FALSE,FALSE,FALSE,FALSE,,,零件類型 (A=專用型 / B=通用型 / C=組合型 / D=拆解型)
nx00_part,8,spec,LITE,VARCHAR(200),FALSE,FALSE,FALSE,FALSE,,,規格/備註（例：MANN / 含墊片 / 06L…適用）
nx00_part,9,uom,LITE,VARCHAR(10),FALSE,FALSE,TRUE,FALSE,,pcs,單位（LITE 固定單位即可；未來再做多單位換算）
nx00_part,10,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（下架不刪資料）
nx00_part,11,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_part,12,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_part,13,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_part,14,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_part_brand,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[PABR]+[7碼流水號]，EX : NX00PABR0000001
nx00_part_brand,2,code,LITE,VARCHAR(30),FALSE,TRUE,TRUE,FALSE,,,品牌代碼（唯一，例：MANN、BOSCH、OEM）
nx00_part_brand,3,name,LITE,VARCHAR(100),FALSE,FALSE,TRUE,FALSE,,,品牌名稱（顯示用）
nx00_part_brand,4,origin_country,LITE,VARCHAR(50),FALSE,FALSE,FALSE,FALSE,,,產地（例：DE、JP、TW，可空）
nx00_part_brand,5,remark,LITE,VARCHAR(200),FALSE,FALSE,FALSE,FALSE,,,備註說明
nx00_part_brand,6,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（停用不刪資料）
nx00_part_brand,7,sort_no,LITE,INT,FALSE,FALSE,TRUE,FALSE,,0,排序用（下拉選單顯示順序）
nx00_part_brand,8,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_part_brand,9,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_part_brand,10,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_part_brand,11,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_car_brand,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[CABR]+[7碼流水號]，EX : NX00CABR0000001
nx00_car_brand,2,code,LITE,VARCHAR(30),FALSE,TRUE,TRUE,FALSE,,,品牌代碼（唯一，例：MANN、BOSCH、OEM）
nx00_car_brand,3,name,LITE,VARCHAR(100),FALSE,FALSE,TRUE,FALSE,,,品牌名稱（顯示用）
nx00_car_brand,4,origin_country,LITE,VARCHAR(50),FALSE,FALSE,FALSE,FALSE,,,產地（例：DE、JP、TW，可空）
nx00_car_brand,5,part_brand_id,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_part_brand,,零件品牌（可空，因為有些料號可能還沒補齊）
nx00_car_brand,6,remark,LITE,VARCHAR(200),FALSE,FALSE,FALSE,FALSE,,,備註說明
nx00_car_brand,7,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（停用不刪資料）
nx00_car_brand,8,sort_no,LITE,INT,FALSE,FALSE,TRUE,FALSE,,0,排序用（下拉選單顯示順序）
nx00_car_brand,9,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_car_brand,10,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_car_brand,11,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_car_brand,12,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_part_group,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[PAGR]+[7碼流水號]，EX : NX00PAGR0000001
nx00_part_group,2,code,LITE,VARCHAR(30),FALSE,FALSE,TRUE,FALSE,,,"自動產生 : [nx00_car_brand.code]-[SEG1]-[SEG2]-[SEG3]-[SEG4]-[SEG5]，EX : ""VAG-03C-115-562-H"""
nx00_part_group,3,name,LITE,VARCHAR(100),FALSE,FALSE,TRUE,FALSE,,,族群名稱
nx00_part_group,4,car_brand_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx00_car_brand,,汽車廠牌 ID (外鍵)
nx00_part_group,5,seg1,LITE,VARCHAR(3),FALSE,FALSE,TRUE,FALSE,,,料號匹配條件第1段
nx00_part_group,6,seg2,LITE,VARCHAR(3),FALSE,FALSE,TRUE,FALSE,,,料號匹配條件第2段
nx00_part_group,7,seg3,LITE,VARCHAR(3),FALSE,FALSE,TRUE,FALSE,,,料號匹配條件第3段
nx00_part_group,8,seg4,LITE,VARCHAR(3),FALSE,FALSE,FALSE,FALSE,,,料號匹配條件第4段
nx00_part_group,9,seg5,LITE,VARCHAR(3),FALSE,FALSE,FALSE,FALSE,,,料號匹配條件第5段
nx00_part_group,10,sort_no,LITE,VARCHAR(30),FALSE,FALSE,TRUE,FALSE,,,排序號碼，自動產生 (根據每個汽車廠牌排序順序也不同)
nx00_part_group,11,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用
nx00_part_group,12,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_part_group,13,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_part_group,14,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_part_group,15,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_part_group_map,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[PAGM]+[7碼流水號]，EX : NX00PAGM0000001
nx00_part_group_map,2,part_id,,,FALSE,FALSE,TRUE,TRUE,nx00_part,,零件 ID (外鍵)
nx00_part_group_map,3,group_id,,,FALSE,FALSE,TRUE,TRUE,nx00_part_group,,零件族群 ID (外鍵)
nx00_part_group_map,4,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_part_group_map,5,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_warehouse,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[WARE]+[7碼流水號]，EX : NX00WARE0000001
nx00_warehouse,2,code,LITE,VARCHAR(10),FALSE,TRUE,TRUE,FALSE,,,倉庫代碼（唯一），例：Z01、Z02
nx00_warehouse,3,name,LITE,VARCHAR(100),FALSE,FALSE,TRUE,FALSE,,,倉庫名稱（顯示用），例：台北倉、二倉
nx00_warehouse,4,remark,LITE,VARCHAR(200),FALSE,FALSE,FALSE,FALSE,,,備註（例：只放新品、只放中古件）
nx00_warehouse,5,sort_no,LITE,INT,FALSE,FALSE,TRUE,FALSE,,0,排序用
nx00_warehouse,6,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（停用不刪資料）
nx00_warehouse,7,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_warehouse,8,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_warehouse,9,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_warehouse,10,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_location,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[LOCA]+[7碼流水號]，EX : NX00LOCA0000001
nx00_location,2,warehouse_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx00_warehouse,,所屬倉庫 ID
nx00_location,3,code,LITE,VARCHAR(30),FALSE,FALSE,TRUE,FALSE,,,庫位代碼（倉內唯一），例：A-01-01、B2-03
nx00_location,4,name,LITE,VARCHAR(100),FALSE,FALSE,FALSE,FALSE,,,庫位名稱（選填），例：靠門口、二樓左側
nx00_location,5,zone,LITE,VARCHAR(20),FALSE,FALSE,FALSE,FALSE,,,區域（選填），例：A區、B區
nx00_location,6,rack,LITE,VARCHAR(20),FALSE,FALSE,FALSE,FALSE,,,架號（選填），例：R01
nx00_location,7,level_no,LITE,INT,FALSE,FALSE,FALSE,FALSE,,,層（選填），例：1、2、3
nx00_location,8,bin_no,LITE,VARCHAR(20),FALSE,FALSE,FALSE,FALSE,,,格（選填），例：01、02
nx00_location,9,remark,LITE,VARCHAR(200),FALSE,FALSE,FALSE,FALSE,,,備註（選填）
nx00_location,10,sort_no,LITE,INT,FALSE,FALSE,TRUE,FALSE,,0,排序用
nx00_location,11,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（停用不刪資料）
nx00_location,12,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_location,13,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_location,14,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_location,15,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_partner,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[PTNR]+[7碼流水號]，EX : NX00PTNR0000001
nx00_partner,2,code,LITE,VARCHAR(30),FALSE,TRUE,TRUE,FALSE,,,交易對象代碼（唯一），例：C0001、S0003、BP0008
nx00_partner,3,name,LITE,VARCHAR(120),FALSE,FALSE,TRUE,FALSE,,,交易對象名稱（公司名/店名/個人名）
nx00_partner,4,partner_type,LITE,VARCHAR(10),FALSE,FALSE,TRUE,FALSE,,BOTH,角色類型：CUST(客戶) / SUP(供應商) / BOTH(皆是)
nx00_partner,5,contact_name,LITE,VARCHAR(50),FALSE,FALSE,FALSE,FALSE,,,聯絡人（可空）
nx00_partner,6,phone,LITE,VARCHAR(30),FALSE,FALSE,FALSE,FALSE,,,電話（可空）
nx00_partner,7,mobile,LITE,VARCHAR(30),FALSE,FALSE,FALSE,FALSE,,,手機（可空）
nx00_partner,8,email,LITE,VARCHAR(100),FALSE,FALSE,FALSE,FALSE,,,Email（可空）
nx00_partner,9,address,LITE,VARCHAR(200),FALSE,FALSE,FALSE,FALSE,,,地址（可空）
nx00_partner,10,remark,LITE,VARCHAR(200),FALSE,FALSE,FALSE,FALSE,,,備註（例：習慣月結、送貨時間、黑名單原因等）
nx00_partner,11,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用（停用後不可再開單）
nx00_partner,12,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_partner,13,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_partner,14,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_partner,15,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_bulletin,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[BULL]+[7碼流水號]，EX : NX00BULL0000001
nx00_bulletin,2,tenant_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx99_tenant,,租戶 ID（外鍵）
nx00_bulletin,3,title,LITE,VARCHAR(100),FALSE,FALSE,TRUE,FALSE,,,公告標題
nx00_bulletin,4,content,LITE,TEXT,FALSE,FALSE,FALSE,FALSE,,,公告內容（多行文字）
nx00_bulletin,5,type,LITE,VARCHAR(1),FALSE,FALSE,TRUE,FALSE,,C,公告類型：S=SYSTEM / C=COMPANY / R=REMIND
nx00_bulletin,6,is_pinned,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,FALSE,是否置頂
nx00_bulletin,7,expired_at,LITE,TIMESTAMP,FALSE,FALSE,FALSE,FALSE,,1個月到期,到期時間（NULL = 永久顯示）
nx00_bulletin,8,is_active,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,TRUE,是否啟用
nx00_bulletin,9,created_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,建立時間。
nx00_bulletin,10,created_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,建立人（對應使用者 ID）。
nx00_bulletin,11,updated_at,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,NOW,更新時間。
nx00_bulletin,12,updated_by,LITE,VARCHAR(15),FALSE,FALSE,FALSE,TRUE,nx00_user,,更新人（對應使用者 ID）。
nx00_calendar_event,1,id,LITE,VARCHAR(15),TRUE,TRUE,TRUE,FALSE,,GEN,[NX00]+[CAEV]+[7碼流水號]，EX : NX00CAEV0000001
nx00_calendar_event,2,tenant_id,LITE,VARCHAR(15),FALSE,FALSE,TRUE,TRUE,nx99_tenant,,租戶 ID（外鍵）
nx00_calendar_event,3,title,LITE,VARCHAR(100),FALSE,FALSE,TRUE,FALSE,,,事件標題
nx00_calendar_event,4,type,LITE,VARCHAR(1),FALSE,FALSE,TRUE,FALSE,,,事件類型：S=SYSTEM / C=COMPANY / R=REMIND
nx00_calendar_event,5,date_start,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,TODAY,開始時間
nx00_calendar_event,6,date_end,LITE,TIMESTAMP,FALSE,FALSE,TRUE,FALSE,,,結束時間
nx00_calendar_event,7,is_all_day,LITE,BOOLEAN,FALSE,FALSE,TRUE,FALSE,,FALSE,是否整天
