表格名稱,欄位序號,欄位名稱,啟用最低需求版本,型別,PK,UQ,NN,FK,來源表格,預設值,欄位說明
nx01_demand,1,id,LITE-CORE,VARCHAR(15),True,False,True,False,,,[NX01]+[DMND]+[7碼流水號]，EX : NX01DMND0000001
nx01_demand,2,tenant_id,LITE-CORE,VARCHAR(15),False,False,True,True,nx99_tenant,,租戶 ID（外鍵）。
nx01_demand,3,doc_no,LITE-CORE,VARCHAR(16),False,True,True,False,,,採購需求單號（唯一），[DR]+[年月]+[5碼流水號]，EX：DR-202604-00001
nx01_demand,4,demand_type,LITE-CORE,VARCHAR(1),False,False,True,False,,,需求類型（S=庫存不足系統自動產生/O=客訂由銷售專員登記）。
nx01_demand,5,part_id,LITE-CORE,VARCHAR(15),False,False,True,True,nx00_part,,需求料號（FK nx00_part）。
nx01_demand,6,warehouse_id,LITE-CORE,VARCHAR(15),False,False,True,True,nx00_warehouse,,需求倉庫（FK nx00_warehouse）。
nx01_demand,7,qty,LITE-CORE,"DECIMAL(14,4)",False,False,True,False,,,需求數量。
nx01_demand,8,customer_id,LITE-CORE,VARCHAR(15),False,False,False,True,nx00_partner,,客戶ID（demand_type=O時必填，FK nx00_partner）。
nx01_demand,9,expected_date,LITE-CORE,DATE,False,False,False,False,,,客戶期望到貨日（選填）。
nx01_demand,10,status,LITE-CORE,VARCHAR(1),False,False,True,False,,O,狀態（O=待處理/P=處理中/C=已完成/I=已忽略）。
nx01_demand,11,ignore_reason,LITE-CORE,VARCHAR(200),False,False,False,False,,,忽略原因（status=I時必填）。
nx01_demand,12,ref_rfq_id,LITE-CORE,VARCHAR(15),False,False,False,True,nx01_rfq,,關聯詢價單ID（處理後填入）。
nx01_demand,13,remark,LITE-CORE,VARCHAR(200),False,False,False,False,,,備註。
nx01_demand,14,created_at,LITE-CORE,TIMESTAMP,False,False,True,False,,NOW(),建立時間。
nx01_demand,15,created_by,LITE-CORE,VARCHAR(15),False,False,True,False,,,建立人（對應使用者ID）。
nx01_demand,16,updated_at,LITE-CORE,TIMESTAMP,False,False,True,False,,NOW(),更新時間。
nx01_demand,17,updated_by,LITE-CORE,VARCHAR(15),False,False,True,False,,,更新人（對應使用者ID）。
nx01_rfq,1,id,LITE,VARCHAR(15),True,True,True,False,,GEN,[NX01]+[RFHT]+[7碼流水號]，EX : NX01RFHT0000001
nx01_rfq,2,tenant_id,LITE,VARCHAR(15),False,False,True,True,nx99_tenant,,租戶ID
nx01_rfq,3,doc_no,LITE,VARCHAR(16),False,True,True,False,,GEN,詢價單號（唯一），[RF]+[年月]+[倉別]+[5碼流水號]，EX：RF-202602-Z01-00001
nx01_rfq,4,rfq_date,LITE,DATE,False,False,True,False,,TODAY,詢價日期
nx01_rfq,5,supplier_id,LITE,VARCHAR(15),False,False,False,True,nx00_partner,,供應商（交易對象 ID；僅允許 SUP/BOTH）
nx01_rfq,6,contact_name,LITE,VARCHAR(50),False,False,False,False,,,聯絡人（可空，臨時覆寫 partner 主檔）
nx01_rfq,7,contact_phone,LITE,VARCHAR(30),False,False,False,False,,,聯絡電話（可空）
nx01_rfq,8,currency,LITE,VARCHAR(10),False,False,True,False,,TWD,幣別（LITE 預設 TWD）
nx01_rfq,9,status,LITE,VARCHAR(20),False,False,True,False,,DRAFT,"狀態。(D=DRAFT, S=SENT, R=REPLIED, C=CLOSED, V=VOID)"
nx01_rfq,10,remark,LITE,VARCHAR(200),False,False,False,False,,,備註
nx01_rfq,11,created_at,LITE,TIMESTAMP,False,False,True,False,,NOW,建立時間。
nx01_rfq,12,created_by,LITE,VARCHAR(15),False,False,False,True,nx00_user,,建立人（對應使用者 ID）。
nx01_rfq,13,updated_at,LITE,TIMESTAMP,False,False,True,False,,NOW,更新時間。
