料號,廠牌,副廠料號,品名
0 092 C75 001,BOSCH,,電瓶充電機
0 092 S57 177,BOSCH,,電瓶-55AH/460A-AMS銀合金
0 092 S57 179,BOSCH,,電瓶-62AH/510A-AMS銀合金
0 092 S57 181,BOSCH,,電瓶-75AH/650A-AMS銀合金
0 092 S57 185,BOSCH,,電瓶-100AH/850A-AMS銀合金
0 092 S57 186,BOSCH,,電瓶-LN5-110AH/920A-AMS銀合金
0 092 S57 187,BOSCH,,電瓶-80AH/730A-AMS銀合金
0 092 S67 112,BOSCH,,電瓶-LN2-60AH/560A-EFB
0 092 S67 113,BOSCH,,電瓶-LN3-70AH/680A-EFB
0 092 S67 114,BOSCH,,電瓶-LN4-80AH/780A-EFB
0 092 S67 117,BOSCH,,電瓶-LN3-70AH/720A-AGM
0 092 S67 118,BOSCH,,電瓶-LN4-80AH/800A-AGM
0 092 S67 120,BOSCH,,電瓶-LN6-105AH/950A-AGM
0 092 S67 127,BOSCH,,電瓶-LN5-95AH/850A-AGM
0 124 655 500,BOSCH,,發電機-110A/28V
0 204 817 839,BOSCH,,煞車總泵
0 241 140 522,BOSCH,,火星塞-V6SII3328 7434
0 242 135 509,BOSCH,,火星塞-YR7MPP33
0 242 135 518,BOSCH,,火星塞-ZR7SI332S
0 242 145 518,BOSCH,,火星塞-ZR5TPP33-S
0 242 145 537,BOSCH,,火星塞-ZR5SI332
0 242 145 541,BOSCH,,火星塞-ZR5TPP330
0 242 145 555,BOSCH,,火星塞-ZS5SPP3320
0 242 229 534,BOSCH,,火星塞
0 242 229 724,BOSCH,,火星塞-FQR8DE
0 242 236 510,BOSCH,,火星塞-FR7NPP332
0 242 236 653,BOSCH,,火星塞-FR7SPP302U
0 242 240 619,BOSCH,,火星塞-FR6MPP332
0 242 240 715,BOSCH,,火星塞-FR6NII332S
0 258 006 586,BOSCH,,含氧感知器
0 258 986 502,BOSCH,,含氧感知器-通用型
0 258 986 503,BOSCH,,含氧感知器-通用型
0 258 986 505,BOSCH,,含氧感知器-通用型
0 258 986 507,BOSCH,,含氧感知器
0 258 986 602,BOSCH,,含氧感知器-通用型
0 258 986 615,BOSCH,,含氧感知器-通用型
0 390 204 035,BOSCH,,混合閥板控制器
0 580 453 495,BOSCH,,汽油泵
0 684 010 500,BOSCH,,FSA 720 測量裝置
0 684 400 590,BOSCH,,KTS 590 系統檢測儀
000 012 150A,VW,,裝配工具
000 012 280B,VW,,網子
000 012 499,,,尿素軟管
000 019 500,VOTEX,,兒童車-金龜車
000 035 397,VW,,音響喇叭
000 035 397A,VW,,音響喇叭
000 043 110 35,PORSCHE,,搖控器-修理包
000 043 205 30,PORSCHE,,差速器油-自排-1ltr
000 043 206 95,PORSCHE,,潤滑油
000 043 207 07,PORSCHE,,潤滑油
000 043 207 29,PORSCHE,,變速箱油-自排
000 043 207 29 *,ZF,,變速箱油-自排
000 043 207 98,PORSCHE,,拉索組
000 043 209 84,PORSCHE,,通氣管
000 043 210 44,PORSCHE,,變速箱油-
000 043 210 44 *,ZF,,變速箱油-
000 043 210 54,PORSCHE,,變速箱油
000 043 301 08,PORSCHE,,防塵套修包-傳動軸後
000 043 301 08 *,LOBRO,,防塵套修包-傳動軸後
000 043 301 18,PORSCHE,,差速器油
000 043 301 47,PORSCHE,,水箱精-1L-已調和
000 043 303 23,PORSCHE,,調壓閥
000 043 303 30,PORSCHE,,凸輪軸感知器-修理包
000 043 304 71,PORSCHE,,變速箱油-手排
000 043 305 13,PORSCHE,,變速箱油-自排
000 043 305 15,PORSCHE,,水箱精-1L-已調和
000 043 305 43 -,FEBI,,變速箱油-自排-29449
000 043 305 49,PORSCHE,,變速箱油-自排
000 043 305 63,PORSCHE,,加力箱油
000 043 305 74,PORSCHE,,方向機油
000 043 306 32,PORSCHE,,防塵套修包-外半軸
000 043 306 32 *,LOBRO,,防塵套修包-外半軸
000 043 306 34,PORSCHE,,變速箱油
000 044 001 99,PORSCHE,,敞篷保養劑
000 044 002 01,PORSCHE,,敞篷清潔劑
000 051 444L,VOTEX,,IPOD線組
000 051 504C,VOTEX,,天線總成-車頂
000 051 504C *,,,天線總成-車頂
000 051 751,VOTEX,,天線底座墊圈修包-車頂
000 054 062D,VOTEX,,搖控器
000 055 300C,VW,,線組-
000 061 126   041,VOTEX,,頭枕小掛勾-黑
000 061 126B,VW,,掛勾
000 061 127,VW,,外套衣架
000 061 512  041,VOTEX,,腳踏墊-後-單片-黑橡膠
000 064 720,VW,,遮陽簾固定套件-後玻璃
000 071 151,VOTEX,,車頂架
000 071 910A,VOTEX,,排氣尾管-飾管
000 087 090,VOTEX,,腳踏車
000 093 032C,VW,,備油筒
000 093 060,VW,,備油筒
000 098 650,VW,,天線連接導線
000 098 655,VW,,天線連接導線
000 141 165,VW,,釋放軸承
000 141 180,VW,,釋放軸承座
000 141 719,VW,,離合器撥叉
000 141 777,VW,,頂座-離合器撥叉
000 311 113B,VW,,油封-釋放軸承座
000 325 025X  ZB4,VW-X,,變速箱總成-DSG
000 325 025X  ZD1,VW-X,,變速箱總成-DSG-6
000 721 213 30,PORSCHE,,墊片
000 810 822 08 8,VOTEX,,VW鑰匙圈-釉面藍底白字
000 810 832 00 0,VOTEX,,VW鑰匙圈
000 825 706 000,VOTEX,,VW汽車歷史童書
000 836 511 00 0,VOTEX,,太陽眼鏡
000 836 512 00 0,VW,,雨傘-防風
000 844 320 00 0,VW,,太陽眼鏡-GTI
000 844 350 00 0,VW,,鑰匙圈-GTI
000 863 890,VW,,吸音布
000 863 890A,VW,,吸音布
000 915 089A,VW,,電瓶-36AH/175A
000 915 089AA,VW,,電瓶-49AH/320A-EFB
000 915 089AB,VW,,電瓶-59AH/320A-EFB
000 915 089AC,VW,,電瓶-70AH/420A-EFB
000 915 089AD,VW,,電瓶-79AH/420A-EFB
000 915 089B,VW,,電瓶-44AH/220A
000 915 089BC,VW,,電瓶-68AH/380A-AGM
000 915 089BD,VW,,電瓶-75AH/420A-AGM
000 915 089BE,VW,,電瓶-92AH/520A-AGM
000 915 089BF,VW,,電瓶-105AH/580A-AGM
000 915 089C,VW,,電瓶-51AH/280A
000 915 089E,VW,,電瓶-61AH/330A
000 915 089F,VW,,電瓶-72AH/380A
000 915 089G,VW,,電瓶-80AH/380A
000 915 089H,VW,,電瓶-85AH/450A
000 915 089J,VW,,電瓶-95AH/450A
000 915 089K,VW,,電瓶-110AH/520A
000 915 105DC,VW,,電瓶-51AH/280A
000 915 105DJ,VW,,電瓶-85AH/450A
000 915 105DK,VW,,電瓶-95AH/450A
000 915 105ED,VW,,電瓶-79AH/420A-EFB
000 915 506,VW,,電瓶塞子
000 937 615,VW,,保險絲盒
000 971 648A,VW,,線組-天窗
000 979 002,VW,,接線頭-旅程電腦開關
000 979 006,VW,,端子
000 979 007,VW,,端子
000 979 009E,VW,,端子
000 979 009EA,VW,,端子
000 979 010EA,VW,,端子
000 979 011,VW,,端子
000 979 012A,VW,,端子
000 979 015A,VW,,端子
000 979 016,VW,,端子
000 979 018A,VW,,端子
000 979 018E,VW,,端子
000 979 018EA,VW,,端子
000 979 019EA,VW,,端子
000 979 020EA,VW,,端子
000 979 021E,VW,,端子
000 979 021EA,VW,,端子
000 979 025,VW,,端子
000 979 025D,VW,,端子
000 979 025EA,VW,,端子
000 979 025EC,VW,,端子
000 979 034E,VW,,端子
000 979 034EA,VW,,端子
000 979 038E,VW,,端子
000 979 103,VW,,端子
000 979 103E,VW,,端子
000 979 106,VW,,端子
000 979 112,VW,,端子
000 979 113,VW,,端子
000 979 117,VW,,端子
000 979 121,VW,,端子
000 979 122,VW,,端子
000 979 123,VW,,端子
000 979 128,VW,,端子
000 979 129,VW,,端子
000 979 129A,VW,,端子
000 979 129E,VW,,端子
000 979 131E,VW,,端子
000 979 131EA,VW,,端子
000 979 132,VW,,端子
000 979 132A,VW,,端子
000 979 132E,VW,,端子
000 979 133,VW,,端子
000 979 133A,VW,,端子
000 979 133AB,VW,,端子
000 979 133E,VW,,端子
000 979 134A,VW,,端子
000 979 135,VW,,端子
000 979 135E,VW,,端子
000 979 141E,VW,,端子
000 979 150,VW,,端子
000 979 150E,VW,,端子
000 979 151E,VW,,端子
000 979 159E,VW,,端子
000 979 159EA,VW,,端子
000 979 213A,VW,,線束
000 979 220,VW,,端子
000 979 223,VW,,端子
000 979 224,VW,,端子
000 979 225A,VW,,端子
000 979 225E,VW,,端子
000 979 225EA,VW,,端子
000 979 227,VW,,端子
000 979 227E,VW,,端子
000 979 235,VW,,端子
000 979 237,VW,,端子
000 979 242EA,VW,,端子-帶線
000 979 243,VW,,端子
000 979 244,VW,,端子
000 979 244E,VW,,端子-帶線
000 979 306,VW,,線組
000 979 308E,VW,,傳輸線
000 979 407,VW,,端子
000 979 408,VW,,端子
000 979 409,VW,,端子
000 979 411E,VW,,端子
000 979 425EC,VW,,端子
000 979 940,VW,,端子
000 979 941,VW,,端子
000 979 942,VW,,端子
000 979 943,VW,,端子
000 979 990A,VW,,端子套管
000 979 992A,VW,,縮收套管
000 998 953,VW,,燈泡修理包-H7
001 301 227,VW,,排擋桿油封
001 321 243,VW,,油封-自動油泵
001 321 243A,VW,,油封-自動油泵
001 321 359,VW,,油底殼-變速箱
001 321 359A,VW,,油底殼-變速箱
001 321 371 *,TAIWAN,,油底殼墊片-變速箱
001 321 385,VW,,墊片-變速箱前端
001 321 386,VW,,油圈-油泵外圍
001 321 419A,VW,,O型環-變速箱油尺導管
001 323 571F,VW,,扭力變換器
001 323 820,VW,,調整墊片
001 323 820A,VW,,調整墊片
001 323 820B,VW,,調整墊片
001 323 820C,VW,,調整墊片
001 323 820D,VW,,調整墊片
001 323 820E,VW,,調整墊片
001 323 820F,VW,,調整墊片
001 323 820G,VW,,調整墊片
001 323 969,VW,,墊圈
001 325 039,VW,,電磁閥體-變速箱
001 325 039C,VW,,電磁閥體-變速箱
001 325 429 *,TAIWAN,,變速箱濾網
001 325 429A,VW,,變速箱濾網
001 325 429A -,FEBI,,變速箱濾網
001 409 061 -,NRF,,冷卻器-ATF
001 409 061A,VW,,冷卻器-ATF
001 409 061A /,NISSENS,,冷卻器-ATF
001 409 069,VW,,O型環-ATF冷卻器
001 409 069B,VW,,O型環-ATF冷卻器
001 409 069C,VW,,O型環-扭力變換器
001 409 069C /,COTTECO,,O型環-扭力變換器
001 409 187,VW,,路碼錶齒輪-驅動
001 409 399,VW,,油封-差速器
001 409 539,VW,,墊片
001 911 023 *,BOSCH,,起動馬達
001 911 023X,VW-X,,起動馬達
001 919 823,VW,,多功能開關
001 927 321,VW,,速度感知器-變速箱
001 927 321 -,TOPRAN,,速度感知器-變速箱
001 927 321A,VW,,速度感知器-變速箱
