id,tenant_id,code,name,category,is_system,is_active,created_at,created_by,updated_at,updated_by
NX05ACCD0000001,{{TENANT_ID}},5101,銷貨收入,I,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000002,{{TENANT_ID}},5201,銷貨成本,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000003,{{TENANT_ID}},6101,薪資費用,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000004,{{TENANT_ID}},6111,勞健保費用,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000005,{{TENANT_ID}},6121,租金費用,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000006,{{TENANT_ID}},6131,水電費,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000007,{{TENANT_ID}},6141,電話網路費,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000008,{{TENANT_ID}},6151,油料費,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000009,{{TENANT_ID}},6161,郵費快遞費,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000010,{{TENANT_ID}},6171,文具雜支,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000011,{{TENANT_ID}},6181,修繕費,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX05ACCD0000012,{{TENANT_ID}},6191,其他費用,E,TRUE,TRUE,NOW(),NX01USER0000001,NOW(),NX01USER0000001
