id,tenant_id,level_code,level_name,tier,rank,sort_no,exp_threshold,icon_url,is_active,seed_type,created_at,created_by,updated_at,updated_by
NX10MDLV0000001,{{TENANT_ID}},BRONZE_IV,銅牌IV,BRONZE,4,1,0,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000002,{{TENANT_ID}},BRONZE_III,銅牌III,BRONZE,3,2,400,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000003,{{TENANT_ID}},BRONZE_II,銅牌II,BRONZE,2,3,1000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000004,{{TENANT_ID}},BRONZE_I,銅牌I,BRONZE,1,4,2200,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000005,{{TENANT_ID}},SILVER_IV,銀牌IV,SILVER,4,5,3800,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000006,{{TENANT_ID}},SILVER_III,銀牌III,SILVER,3,6,5800,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000007,{{TENANT_ID}},SILVER_II,銀牌II,SILVER,2,7,7800,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000008,{{TENANT_ID}},SILVER_I,銀牌I,SILVER,1,8,10500,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000009,{{TENANT_ID}},GOLD_IV,金牌IV,GOLD,4,9,14000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000010,{{TENANT_ID}},GOLD_III,金牌III,GOLD,3,10,19000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000011,{{TENANT_ID}},GOLD_II,金牌II,GOLD,2,11,25000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000012,{{TENANT_ID}},GOLD_I,金牌I,GOLD,1,12,33000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000013,{{TENANT_ID}},PLATINUM_IV,白金IV,PLATINUM,4,13,42000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000014,{{TENANT_ID}},PLATINUM_III,白金III,PLATINUM,3,14,53000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000015,{{TENANT_ID}},PLATINUM_II,白金II,PLATINUM,2,15,65000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000016,{{TENANT_ID}},PLATINUM_I,白金I,PLATINUM,1,16,82000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000017,{{TENANT_ID}},DIAMOND_IV,鑽石IV,DIAMOND,4,17,100000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000018,{{TENANT_ID}},DIAMOND_III,鑽石III,DIAMOND,3,18,125000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000019,{{TENANT_ID}},DIAMOND_II,鑽石II,DIAMOND,2,19,155000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
NX10MDLV0000020,{{TENANT_ID}},DIAMOND_I,鑽石I,DIAMOND,1,20,190000,,TRUE,PRO,NOW(),NX01USER0000001,NOW(),NX01USER0000001
